Date received,Tag,Consumer Claim,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
01/20/2017,Mortgage,"ON XXXX XXXX XXXX WE CALLED WELLS FARGO MTG WHO CURERNTLY HOLDS OUR MTG TO REFINANCE AND GET SOME EQUITY WE HAVE AVAILABLE TO CONSOLIDATE SOME BILLS AND DO SOME HOME IMPROVEMENTS. I WAS DIRECTED TO A XXXX XXXX XXXX WHO WAS VERY SHORT WITH HIS EXPLANATIONS TO THE LOAN WE WERE REQUESTING AND STATED BEFORE WE APPLY FOR THE REFINANCE THAT WE NEEDED TO GET HIM DOCUMENTS BEFORE WE COULD APPLY -- LIKE OUR CHECK STUBS, BANK STATEMENTS FOR LAST TWO MONTHS AND OUR MORTGAGE STATEMENTS - I THOUGHT THAT WAS PRETTY PREMATURE SINCE WE HADNT EVEN DONE OUR APPLICATION YET - HE STATED IT WOULD TAKE 45 MINUTES TO DO OVER THE PHONE IF I WANTED TO I COULD APPLY ONLINE - I EXPLAINED TO HIM WHICH EVER WAY WAS FASTER I WOULD DO. HE CONTINUED TO STRESS TOSEND HIM THE DOCUMENTS TO HIM BEFORE WE TAKE THE APPLICATION. HE ALSO WANTED TO KNOW WHAT MY CREDIT SCORE WAS BEOFRE TAKING AND I WAS NOT SURE WHAT IT WAS I HAD GIVIEN HIM WHAT THE WEBSITE XXXX HAD GIVEN US AND HE AT THAT TIME STATED IT WAS IT WAS LOW. MY HUSBAND AND I CURRENTLY ONLY OWE XXXX ON OUR MORTGAGE WHO WAS FINANCED FOR LAST 15 YEARS WITH WELLSFARGO AT THAT TIME I FELT LIKE I WOULD OF BEEN TRATED BETTER AND WITH OPEN ARMS SINCE THEY HAD MY PAY HISTORY RIGHT IN FRONT OF THEM AND SAW THAT I WAS NEVER LATE. THAT WAS NOT THE CASE. I EXPLAINED TO XXXX XXXX THAT WE WANTED TO POSSIBLY CLOSE BEFORE THE END OF THE YEAR SO WE CAN USE FOR OUR TAX PURPOSES AND HE STATED OH NO IT WILL TAKE 60-75 DAYS TO CLOSE. WE CONTINUED IN HOPES THAT ALL WOULD BE DONE SOON. AS THE WEEKS WENT BY DOCUMENTS WERE ASKED OF ME ONLY WHEN I WOULD CALL TO XXXX TO SEE WHAT THE STAUS WAS ON OUR LOAN THERE WOULD BE WEEKS GO BY AND NO CONTACT FROM THEM. DURING THE PROCESS I DID ASK WHY IS THERE SUCH A LONG TIME IN BETWEEN PROCESS AND HE SAID ITS PROCESSORS THAT TAKE THE LONG TIME NOT HIM HE JUST GIVES THEM WHAT THEY ASK FOR. WE CONTINUE TO WAY AND STILL TO THIS DATE WE HAVE NOT RECEIVED CONFIRMATION THAT OUR LOAN HAS BEEN APPROVED. WHEN CONTINUED TO ASK IF OUR LOAN WAS APPROVED HE STATED THAT HE DIDNT KNOW ITS WITH THE UNDERWRITER AND THEY NEED TO HAVE ALL THE DOCUMENTS BEFORE THEY CAN GET AN APPROVAL. DOCUMENTS HAD BEEN ASKED OF ME MORE THAN ONCE AND GIVEN TO THEM MORE THAN ONCE. TO THIS DATE WHICH IS XXXX XXXX XXXX THEY STILL HAVEN NOT CALLED OUR JOBS TO VERIFY OUR EMPLOYMENT. I DONT BELIEVE THIS COMPANY HAD ANY INTENTIONS TO CLOSE OUR LOAN. I WAS NEVER TOLD TO COME TO THEIR LOCATION TO MEET THEM OR ANYTHING. I BELIEVE BECAUSE OUR NAME IS WHAT OUR NAME IS AND WE DONT HAVE TONS AND TONS OF MONEY THAT IT WAS PUT ON THE BACK BURNER AND NEVER OF ANY IMPORTANCE. I CALLED YESTERDAY TO SEE THE STATUS ONCE AGAIN AND THE PROCESSOR DIDNT HAVE ANYTHING TO TELL ME ONLY THAT HE GOT A RATE EXTENTION FOR ME AND THAT I SHOULD BE HAPPY FOR THAT. I EXPRESSED TO HIM WHY WOULD YOU NEED A RATE EXTENTION? IF WE WOULD OF CLOSED WHEN THE CLOSED WHOULD OF BEEN CLOSED WEEKS AGO THAT WOULD NEVER HAVE HAD TO BE DONE. I ASKED FOR CORPORATES NUMBER AND I CALLED THEM TO LET THEM KNOW WHAT WAS HAPPENING AND A XXXX XXXX CALLED ME BACK ONLY TO TELL ME HE WAS DRIVING AND THAT HE WOULD HAVE TO CONTACT ME ANOTHER DAY OR IF WE WANT TO CANCEL THE LOAN HE CAN GET THAT PROCESSED FOR US. I EXPRESSED TO HIM THAT HIS VERY BLAND ATTITUDE WAS NOT ACCEPTABLE. THEN HE CONTINUED TO ASK WHAT DID I WANT HIM TO DO. I THEN STATED TO HIM THAT I DIDNT WANT HIM TO DO ANYTHING AND THAT I WOULD HANDLE A DIFFERENT ROUTE. I THEN CALLED AGAIN TO THE XXXX NUMBER AND THEY SENT ME TO THE PRESIDENTS NUMBER AND ALL THEY COULD DO WAS TAKE MY NAME AND FILE A CASE AND WILL CONTACT ME WITHIN XXXX WEEKS. I WAS FLOORED ON HOW WELLS FAGO HANDLED THIS AFTER MANY YEARS OF PERFECT PAY WITH CARS -CC- AND MTG MY HUSBAND AND I JUST WAISTED 3 MONTHS AND NOTHING ACCOMPLISHED.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,TX,774XX,,Consent provided,Web,01/20/2017,Closed with explanation,Yes,No,2302087
05/14/2017,Debt collection,I pulled my credit report and noticed an unknown medical account on my credit report. I disputed this account with the credit bureau and was told that this has been verified. I then was told by the credit bureau to contact ability recovery services and they then send me a itemized bill which is not validation. I request for a copy of a contract bearing my signature and something showing that I have a contract with them.,,"Ability Recovery Services, LLC",MO,,,Consent provided,Web,05/14/2017,Closed with explanation,Yes,,2484018
07/26/2016,Debt collection,,,FIRST NATIONAL BANK OF OMAHA,WA,988XX,,,Referral,07/29/2016,Closed with explanation,Yes,No,2030122
10/20/2012,Student loan,,,WELLS FARGO & COMPANY,CA,91350,,,Web,10/22/2012,Closed with non-monetary relief,Yes,No,175042
09/17/2018,"Credit reporting, credit repair services, or other personal consumer reports","ON XX/XX/XXXX at XXXX I contacted Capital One in regards to a balance if {$470.00} reporting on my XXXX , XXXX , and XXXX credit files, but my balance is {$350.00}. I spoke with a Representative Name : XXXX employee #  XXXX who stated I have to wait 30 days after I put my request in writing. I explained to her this is in accurate balance and its a violation of the FCRA to not update correct information referring to my account information. Also when I opened my Capital one Acct XX/XX/XXXX I was told after 5 months of on time payments I will get a credit increase. that did not happen I didn't get an increase until XX/XX/XXXX. I feel this company fail to be in compliance of what they write in fine print.",,CAPITAL ONE FINANCIAL CORPORATION,IL,606XX,,Consent provided,Web,09/17/2018,Closed with explanation,Yes,,3021743
09/18/2013,Credit reporting,,,"EQUIFAX, INC.",NC,28560,,,Web,09/18/2013,Closed with non-monetary relief,Yes,No,533658
10/07/2016,Debt collection,,,"DLC, LLC",NV,89117,,Consent not provided,Web,10/31/2016,Closed with explanation,Yes,No,2149461
06/23/2013,Bank account or service,,,WELLS FARGO & COMPANY,CA,94122,Older American,,Web,06/25/2013,Closed with explanation,Yes,Yes,438552
02/24/2019,Mortgage,"I have requested my PMI be removed from my account as my LTV is at about 75 % of the original appraisal. My mortgage company Lakeview Loan Servicing or XXXX XXXX asked me to pay for a new appraisal, for which I paid them {$420.00}. They then sent me a letter saying an appraisal cost XXXX and in needed to send them more money at which time they would determine again if that was enough money. I have asked for an explaination as to why the appraisal cost is so high. No body can answer me. They just say they will submit a request to the PMI removal department, which by the way has no phone number. They give me a date for when it will be recalculated by the first date was supposed to be complete in late XXXX. When I did not hear anything from them by Mid-XXXX I called them again and they said they would do the same thing as nothing had been done so far and this time it would be completed the XX/XX/XXXX. I call the XX/XX/XXXX and they said it would be completed that night and to call back in the morning. I called back the XXXX and they put me on hold then hung up on me. I called back an hour later and they told me they would put in a request for someone in the PMI removal department to call me. It is now theXX/XX/XXXX and I have not heard anything back. They sent me a letter saying if I did not submit the additional {$620.00} within 45 days they will refund the money and I would have to start all over.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"LAKEVIEW LOAN SERVICING, LLC",WA,993XX,,Consent provided,Web,02/24/2019,Closed with explanation,Yes,,3161719
01/28/2014,Credit card,,,"CITIBANK, N.A.",VA,20170,,,Web,01/27/2014,Closed with explanation,Yes,No,687931
